Iteration: 0, Time Elapsed: 19.2,  Loss: 1.6912, gradnorm: 6.0725
Iteration: 1000, Time Elapsed: 136.6,  Loss: 0.2634, gradnorm: 0.6892
Iteration: 2000, Time Elapsed: 244.0,  Loss: 0.0319, gradnorm: 0.2941
Iteration: 3000, Time Elapsed: 351.5,  Loss: 0.0228, gradnorm: 0.2349
Iteration: 4000, Time Elapsed: 458.8,  Loss: 0.0199, gradnorm: 0.2184
Iteration: 5000, Time Elapsed: 566.0,  Loss: 0.0186, gradnorm: 0.2078
Iteration: 6000, Time Elapsed: 673.2,  Loss: 0.0177, gradnorm: 0.2142
Iteration: 7000, Time Elapsed: 780.4,  Loss: 0.0170, gradnorm: 0.2212
Iteration: 8000, Time Elapsed: 887.6,  Loss: 0.0163, gradnorm: 0.2357
Iteration: 9000, Time Elapsed: 994.8,  Loss: 0.0159, gradnorm: 0.2497
Iteration: 10000, Time Elapsed: 1101.9,  Loss: 0.0154, gradnorm: 0.2463
Iteration: 11000, Time Elapsed: 1218.2,  Loss: 0.0153, gradnorm: 0.2385
Iteration: 12000, Time Elapsed: 1325.3,  Loss: 0.0150, gradnorm: 0.2403
Iteration: 13000, Time Elapsed: 1432.6,  Loss: 0.0148, gradnorm: 0.2308
Iteration: 14000, Time Elapsed: 1539.9,  Loss: 0.0147, gradnorm: 0.2206
Iteration: 15000, Time Elapsed: 1647.3,  Loss: 0.0143, gradnorm: 0.2213
Iteration: 16000, Time Elapsed: 1754.4,  Loss: 0.0144, gradnorm: 0.2179
Iteration: 17000, Time Elapsed: 1861.6,  Loss: 0.0142, gradnorm: 0.2150
Iteration: 18000, Time Elapsed: 1968.8,  Loss: 0.0140, gradnorm: 0.2126
Iteration: 19000, Time Elapsed: 2075.9,  Loss: 0.0139, gradnorm: 0.2054
Iteration: 20000, Time Elapsed: 2183.1,  Loss: 0.0138, gradnorm: 0.2019
Iteration: 21000, Time Elapsed: 2299.3,  Loss: 0.0137, gradnorm: 0.1964
Iteration: 22000, Time Elapsed: 2406.4,  Loss: 0.0138, gradnorm: 0.2018
Iteration: 23000, Time Elapsed: 2513.6,  Loss: 0.0136, gradnorm: 0.1951
Iteration: 24000, Time Elapsed: 2620.7,  Loss: 0.0135, gradnorm: 0.1956
Iteration: 25000, Time Elapsed: 2727.8,  Loss: 0.0135, gradnorm: 0.1911
Iteration: 26000, Time Elapsed: 2834.9,  Loss: 0.0137, gradnorm: 0.1891
Iteration: 27000, Time Elapsed: 2942.1,  Loss: 0.0136, gradnorm: 0.1902
Iteration: 28000, Time Elapsed: 3049.2,  Loss: 0.0135, gradnorm: 0.1838
Iteration: 29000, Time Elapsed: 3156.4,  Loss: 0.0132, gradnorm: 0.1820
Iteration: 30000, Time Elapsed: 3263.6,  Loss: 0.0133, gradnorm: 0.1769
Iteration: 31000, Time Elapsed: 3379.6,  Loss: 0.0132, gradnorm: 0.1736
Iteration: 32000, Time Elapsed: 3486.9,  Loss: 0.0133, gradnorm: 0.1790
Iteration: 33000, Time Elapsed: 3594.0,  Loss: 0.0130, gradnorm: 0.1749
Iteration: 34000, Time Elapsed: 3701.1,  Loss: 0.0132, gradnorm: 0.1708
Iteration: 35000, Time Elapsed: 3808.2,  Loss: 0.0129, gradnorm: 0.1742
Iteration: 36000, Time Elapsed: 3915.3,  Loss: 0.0131, gradnorm: 0.1692
Iteration: 37000, Time Elapsed: 4022.5,  Loss: 0.0131, gradnorm: 0.1785
Iteration: 38000, Time Elapsed: 4129.8,  Loss: 0.0131, gradnorm: 0.1648
Iteration: 39000, Time Elapsed: 4236.9,  Loss: 0.0131, gradnorm: 0.1673
Iteration: 40000, Time Elapsed: 4344.0,  Loss: 0.0130, gradnorm: 0.1702
Iteration: 41000, Time Elapsed: 4460.4,  Loss: 0.0131, gradnorm: 0.1614
Iteration: 42000, Time Elapsed: 4567.5,  Loss: 0.0129, gradnorm: 0.1571
Iteration: 43000, Time Elapsed: 4674.7,  Loss: 0.0129, gradnorm: 0.1638
Iteration: 44000, Time Elapsed: 4781.9,  Loss: 0.0129, gradnorm: 0.1617
Iteration: 45000, Time Elapsed: 4889.0,  Loss: 0.0129, gradnorm: 0.1558
Iteration: 46000, Time Elapsed: 4996.2,  Loss: 0.0127, gradnorm: 0.1541
Iteration: 47000, Time Elapsed: 5103.4,  Loss: 0.0127, gradnorm: 0.1554
Iteration: 48000, Time Elapsed: 5210.6,  Loss: 0.0128, gradnorm: 0.1500
Iteration: 49000, Time Elapsed: 5317.7,  Loss: 0.0128, gradnorm: 0.1611
Iteration: 50000, Time Elapsed: 5424.7,  Loss: 0.0128, gradnorm: 0.1535
