Iteration: 0, Time Elapsed: 17.1,  Loss: 0.8877, gradnorm: 12.2708
Iteration: 1000, Time Elapsed: 129.9,  Loss: 0.0686, gradnorm: 0.9670
Iteration: 2000, Time Elapsed: 236.7,  Loss: 0.0006, gradnorm: 0.0735
Iteration: 3000, Time Elapsed: 343.5,  Loss: 0.0003, gradnorm: 0.0365
Iteration: 4000, Time Elapsed: 450.2,  Loss: 0.0002, gradnorm: 0.0375
Iteration: 5000, Time Elapsed: 556.9,  Loss: 0.0001, gradnorm: 0.0419
Iteration: 6000, Time Elapsed: 663.7,  Loss: 0.0001, gradnorm: 0.0482
Iteration: 7000, Time Elapsed: 770.5,  Loss: 0.0001, gradnorm: 0.0514
Iteration: 8000, Time Elapsed: 877.3,  Loss: 0.0001, gradnorm: 0.0644
Iteration: 9000, Time Elapsed: 984.1,  Loss: 0.0001, gradnorm: 0.0626
Iteration: 10000, Time Elapsed: 1090.9,  Loss: 0.0001, gradnorm: 0.0606
Iteration: 11000, Time Elapsed: 1204.6,  Loss: 0.0001, gradnorm: 0.0571
Iteration: 12000, Time Elapsed: 1311.4,  Loss: 0.0001, gradnorm: 0.0596
Iteration: 13000, Time Elapsed: 1418.2,  Loss: 0.0001, gradnorm: 0.0548
Iteration: 14000, Time Elapsed: 1525.0,  Loss: 0.0001, gradnorm: 0.0493
Iteration: 15000, Time Elapsed: 1631.8,  Loss: 0.0000, gradnorm: 0.0486
Iteration: 16000, Time Elapsed: 1738.7,  Loss: 0.0000, gradnorm: 0.0494
Iteration: 17000, Time Elapsed: 1845.5,  Loss: 0.0000, gradnorm: 0.0448
Iteration: 18000, Time Elapsed: 1952.1,  Loss: 0.0000, gradnorm: 0.0444
Iteration: 19000, Time Elapsed: 2058.9,  Loss: 0.0000, gradnorm: 0.0418
Iteration: 20000, Time Elapsed: 2165.8,  Loss: 0.0000, gradnorm: 0.0398
